av_alive,av_lambda,av_thr1,av_thr2,av_t_thr,sd_lambda,sd_thr1,sd_thr2,sd_t_thr
0.83525,0,0.980274170666933,0,1000,0,0.0191741660113414,0,0
0.83475,0,0.988572929292917,0,1000,0,0.014236824470042,0,0
0.82725,0,0.992851962193847,0,1000,0,0.00751175182354196,0,0
0.83125,0,0.982933791384101,0,1000,0,0.0175803696958052,0,0
0.845,0,0.984038340032101,0,1000,0,0.0154969456133005,0,0
0.83075,0,0.990941976577044,0,1000,0,0.0104405381262867,0,0
0.8285,0,0.990992375254631,0,1000,0,0.0102290616824212,0,0
0.82925,0,0.988039012476802,0,1000,0,0.0105768743744106,0,0
0.837,0,0.98010392652452,0,1000,0,0.0138312342141074,0,0
0.832,0,0.989180856972933,0,1000,0,0.0107412498052972,0,0
0.83025,0,0.989476506456733,0,1000,0,0.00843468762699731,0,0
0.838,0,0.989690804108977,0,1000,0,0.0100128011443997,0,0
0.84025,0,0.986466013371944,0,1000,0,0.0140687243702629,0,0
0.8305,0,0.990940526142716,0,1000,0,0.0104328705483008,0,0
0.8285,0,0.9907096850425,0,1000,0,0.0123459252797307,0,0
0.83725,0,0.988610281080008,0,1000,0,0.0119083630967618,0,0
0.83475,0,0.981683721125126,0,1000,0,0.0129368233840244,0,0
0.84475,0,0.987623611584306,0,1000,0,0.0136567717526781,0,0
0.83325,0,0.985081242918968,0,1000,0,0.0138203880845541,0,0
0.84375,0,0.986594058588147,0,1000,0,0.0150523453762788,0,0
0.83,0,0.988552633970976,0,1000,0,0.0108082338653801,0,0
0.833,0,0.988826651588082,0,1000,0,0.0135189417533917,0,0
0.834,0,0.983033127710223,0,1000,0,0.0143512810490199,0,0
0.841,0,0.988255682677031,0,1000,0,0.0116204671582438,0,0
0.82675,0,0.987116137087345,0,1000,0,0.0129946036794455,0,0
0.82225,0,0.990006928533316,0,1000,0,0.0106212695545159,0,0
0.849,0,0.985521536111832,0,1000,0,0.0122661264617285,0,0
0.85175,0,0.986900260359049,0,1000,0,0.0108740144241705,0,0
0.83675,0,0.985743048250675,0,1000,0,0.0130841705447059,0,0
0.829,0,0.984716572955251,0,1000,0,0.017276519530264,0,0
0.8275,0,0.989096546500921,0,1000,0,0.012557739091509,0,0
0.8255,0,0.989553881824017,0,1000,0,0.0127514042202602,0,0
0.821,0,0.990925601512194,0,1000,0,0.0092727130188824,0,0
0.83075,0,0.991329234793782,0,1000,0,0.0113116136241885,0,0
0.83175,0,0.983718297407031,0,1000,0,0.0146326181832556,0,0
0.83825,0,0.987898756995797,0,1000,0,0.0115890005434735,0,0
0.821,0,0.979605089947581,0,1000,0,0.0127413324868047,0,0
0.84075,0,0.98375782096386,0,1000,0,0.0117346507141193,0,0
0.843,0,0.983167406797409,0,1000,0,0.0135172461518631,0,0
0.83675,0,0.984804921865463,0,1000,0,0.0127115944947003,0,0
0.837,0,0.985541237190366,0,1000,0,0.014761026436861,0,0
0.83125,0,0.987034905031323,0,1000,0,0.0137685637839801,0,0
0.84825,0,0.983229155346751,0,1000,0,0.0158710597123616,0,0
0.835,0,0.986202246770263,0,1000,0,0.0128451681616613,0,0
0.84875,0,0.989285883948207,0,1000,0,0.00842976912045938,0,0
0.8385,0,0.977161791324615,0,1000,0,0.0196725548358479,0,0
0.83975,0,0.98364315520227,0,1000,0,0.00849657631256431,0,0
0.83175,0,0.983250038698316,0,1000,0,0.01166228152594,0,0
0.8445,0,0.987736507609487,0,1000,0,0.0114613234020696,0,0
0.841,0,0.986673544198275,0,1000,0,0.0128847262128019,0,0
0.8425,0,0.980907877236605,0,1000,0,0.0132848483566677,0,0
0.8415,0,0.984105257421732,0,1000,0,0.0151449211269434,0,0
0.84125,0,0.981564186453819,0,1000,0,0.0158071036149912,0,0
0.84275,0,0.986423041582108,0,1000,0,0.014673124354261,0,0
