av_alive,av_w0,av_alph_w,av_lambda,av_thr1,av_thr2,av_t_thr,av_beta,sd_w0,sd_alph_w,sd_lambda,sd_thr1,sd_thr2,sd_t_thr,sd_beta
0.8455,8.56026914262772,0.929347515389323,0,0.937818153500557,0,1000,14.1342648491859,0.041962956720039,0.035592436258322,0,0.0319718727352806,0,0,0.0894836758658493
0.85025,8.54655072259903,0.939787523522973,0,0.927507722318172,0,1000,14.1744538755417,0.0685921691625891,0.0399374207538566,0,0.0342920333805997,0,0,0.0299144133872027
0.836,8.53165915489197,0.935073080271483,0,0.920126116991043,0,1000,14.1787285912037,0.0814532498796882,0.0435895926696912,0,0.033168294204317,0,0,0.0390412979267796
0.8575,8.53229534506798,0.935736741140485,0,0.922301635146141,0,1000,14.1562716886997,0.0575160886081581,0.0408040580054326,0,0.0274630146249118,0,0,0.0545421132382773
0.84375,8.528884775877,0.945489338859916,0,0.915950969725847,0,1000,14.1372759189606,0.0624525167986404,0.0335593231989258,0,0.0374435258166541,0,0,0.0229829348853872
0.84225,8.49162661361694,0.938480074226856,0,0.868153008982539,0,1000,14.144200255394,0.0579284839470177,0.0350796589989549,0,0.0374764447692076,0,0,0.0352005419949499
0.846,8.4792845697403,0.947743283510208,0,0.87383667460084,0,1000,14.1455597271919,0.0517484075263003,0.0320008845779731,0,0.0482327188545533,0,0,0.0493151691148583
0.8455,8.47909611368179,0.95633944684267,0,0.8315420640558,0,1000,14.111966827631,0.0765364751557185,0.0298002669712308,0,0.0419405268888867,0,0,0.0440183457964328
0.85225,8.46344345450401,0.93669778290391,0,0.85857201680541,0,1000,14.1038637206554,0.0793940640467573,0.0415444991519474,0,0.045918458371298,0,0,0.0609456999453762
0.846,8.38996333193779,0.947093052655458,0,0.857536477133632,0,1000,14.155398799181,0.0746920566656748,0.0439534902292733,0,0.0522653909682566,0,0,0.0812456874150559
0.8455,8.44490647888184,0.948082351773977,0,0.893430280521512,0,1000,14.1530366384983,0.0671965725648749,0.0333091314755385,0,0.037299741628794,0,0,0.082643296026493
0.85,8.43876788568497,0.961773497566581,0,0.930365942701697,0,1000,14.1267295918465,0.0816198914092712,0.0273991947860783,0,0.0311385629075892,0,0,0.0796846421264949
0.8425,8.39154446935654,0.960826972290874,0,0.894228934764862,0,1000,14.0747652168274,0.0900605642017825,0.0305801600053503,0,0.0468610275165219,0,0,0.102247405809153
0.8545,8.35090080404282,0.966780156925321,0,0.907511179059744,0,1000,13.9833666670322,0.0801993014862902,0.0291219414423887,0,0.0277855371615398,0,0,0.0323538390669008
0.84425,8.44071794033051,0.939959097996354,0,0.891018384084105,0,1000,13.9695336432457,0.120118372500356,0.0242462231993441,0,0.0481156057545497,0,0,0.0322218875102858
0.8455,8.50538294005394,0.945952893793583,0,0.927189250439405,0,1000,14.0066951675415,0.122251308794751,0.0371970531848605,0,0.0330084278440916,0,0,0.0415393695001532
0.84625,8.46514704632759,0.929725018709898,0,0.927946898788214,0,1000,14.0008183906078,0.14111243402177,0.045556162836304,0,0.0340603235222543,0,0,0.0600192634623649
